hash,p,nP,nQ,n,max_total_degree,method,n_enum,verdict,count,truncated,n_degenerate,n_nondegenerate,n_sampled,n_verify_fail,tear_nonempty,tear_empty,tear_other,wall_s,note
1751cd1e2604,2,5,5,10,158,exhaustive-bilinear,16,EMPTY,0,False,,,,,,,,0.0,
1751cd1e2604,3,5,5,10,158,exhaustive-bilinear,81,NONEMPTY,18,False,18,0,0,0,0,0,0,0.0,
41fcb750b183,2,5,8,13,160,exhaustive-bilinear,16,NONEMPTY,40,False,4,36,8,0,0,0,8,0.01,
41fcb750b183,3,5,8,13,160,exhaustive-bilinear,81,NONEMPTY,306,False,18,288,8,0,0,0,8,0.02,
6936b7b54b0c,2,5,7,12,159,exhaustive-bilinear,16,NONEMPTY,4,False,2,2,2,0,0,0,2,0.01,
6936b7b54b0c,3,5,7,12,159,exhaustive-bilinear,81,NONEMPTY,6,False,6,0,0,0,0,0,0,0.02,
3b714329e68e,2,6,8,14,154,exhaustive-bilinear,32,NONEMPTY,8,False,1,7,7,0,0,0,7,0.01,
3b714329e68e,3,6,8,14,154,exhaustive-bilinear,243,NONEMPTY,2,False,2,0,0,0,0,0,0,0.02,
ef38fc7d5f53,2,6,8,14,160,exhaustive-bilinear,32,NONEMPTY,64,False,18,46,8,0,0,1,7,0.01,
ef38fc7d5f53,3,6,8,14,160,exhaustive-bilinear,243,NONEMPTY,102,False,18,84,8,0,0,1,7,0.05,
597332c0312f,2,8,8,16,152,exhaustive-bilinear,128,NONEMPTY,44,False,16,28,8,0,0,0,8,0.03,
597332c0312f,3,8,8,16,152,exhaustive-bilinear,2187,EMPTY,0,False,,,,,,,,0.13,
2e2bde3ebbe3,2,6,7,13,154,exhaustive-bilinear,32,NONEMPTY,40,False,4,36,8,0,0,0,8,0.01,
2e2bde3ebbe3,3,6,7,13,154,exhaustive-bilinear,243,EMPTY,0,False,,,,,,,,0.01,
13512b945a96,2,6,8,14,151,exhaustive-bilinear,32,NONEMPTY,4,False,0,4,4,0,0,0,4,0.06,
13512b945a96,3,6,8,14,151,exhaustive-bilinear,243,NONEMPTY,6,False,2,4,4,0,0,0,4,0.06,
0ba45c61d577,2,8,8,16,148,exhaustive-bilinear,128,NONEMPTY,56,False,0,56,8,0,0,1,7,0.04,
0ba45c61d577,3,8,8,16,148,exhaustive-bilinear,2187,NONEMPTY,954,False,0,954,8,0,0,1,7,0.45,
1a08a6ed5b29,2,7,6,13,139,exhaustive-bilinear,32,EMPTY,0,False,,,,,,,,0.0,
1a08a6ed5b29,3,7,6,13,139,exhaustive-bilinear,243,NONEMPTY,6,False,2,4,4,0,0,0,4,0.02,
60891c73f760,2,6,5,11,158,exhaustive-bilinear,16,NONEMPTY,8,False,1,7,7,0,0,0,7,0.0,
60891c73f760,3,6,5,11,158,exhaustive-bilinear,81,EMPTY,0,False,,,,,,,,0.0,
73eb82dc7fc5,2,6,5,11,159,exhaustive-bilinear,16,NONEMPTY,4,False,2,2,2,0,0,0,2,0.01,
