hash,label,deg_P,deg_y,n_terms,species_measured,U_bezout_identity,U_residual_terms,U_deg_A,U_deg_B,SY_verdict,FIB_witness,max_fibre_components,period_instrument,places_at_infinity,genus,period_case,period_value,period_witness,period_verdict,mate_verdict,mate_max_deg_Q,mate_certificate,mate_lambda_support,mate_lambda_reverified
e8d5d6c2f1aa,"G1 h0=1 c=1 a=0 n=10 m=2 t=[(0, Fraction(1, 1))]",12,2,5,v-quadratic|S2_ge3_places|S3_positive_genus,True,0,11,11,NON_COORDINATE,NON_COORDINATE_BY_R,2,EXACT-G1,3,4,iii,0,nonzero holomorphic 1-form on a compact curve of genus 4,NONVANISHING,,,,,
0b5c89d19389,"G1 h0=1 c=1 a=-1 n=10 m=2 t=[(0, Fraction(-1, 1)), (1, Fraction(2, 1))]",12,2,35,v-quadratic|S2_ge3_places|S3_positive_genus,True,0,11,11,NON_COORDINATE,NON_COORDINATE_BY_R,2,EXACT-G1,3,4,iii,0,nonzero holomorphic 1-form on a compact curve of genus 4,NONVANISHING,,,,,
43ff757b1b79,"G1 h0=1 c=-1 a=-1 n=10 m=2 t=[(0, Fraction(-2, 1)), (1, Fraction(2, 1)), (2, Fraction(2, 1))]",14,2,39,v-quadratic|S2_ge3_places|S3_positive_genus,True,0,11,12,NON_COORDINATE,NON_COORDINATE_BY_R,2,EXACT-G1,3,4,iii,0,nonzero holomorphic 1-form on a compact curve of genus 4,NONVANISHING,,,,,
e8cc7be455b4,"G1 h0=-3 c=-2 a=2 n=10 m=2 t=[(0, Fraction(-3, 1)), (1, Fraction(3, 1)), (2, Fraction(2, 1)), (3, Fraction(-3, 1))]",16,2,42,v-quadratic|S2_ge3_places|S3_positive_genus,True,0,11,13,NON_COORDINATE,NON_COORDINATE_BY_R,2,EXACT-G1,3,4,iii,0,nonzero holomorphic 1-form on a compact curve of genus 4,NONVANISHING,,,,,
66b0fe062192,"G1 h0=-1 c=-2 a=2 n=11 m=2 t=[(0, Fraction(3, 1))]",13,2,36,v-quadratic|S3_positive_genus,True,0,12,12,NON_COORDINATE,NON_COORDINATE_BY_R,2,EXACT-G1,2,5,iii,0,nonzero holomorphic 1-form on a compact curve of genus 5,NONVANISHING,,,,,
f71bddec9acd,"G1 h0=-3 c=1 a=1 n=11 m=2 t=[(1, Fraction(2, 1))]",13,2,38,v-quadratic|S3_positive_genus,True,0,12,12,NON_COORDINATE,NON_COORDINATE_BY_R,2,EXACT-G1,2,5,iii,0,nonzero holomorphic 1-form on a compact curve of genus 5,NONVANISHING,,,,,
0a3796ad1edf,"G1 h0=-3 c=-2 a=0 n=11 m=2 t=[(1, Fraction(2, 1)), (2, Fraction(1, 1))]",15,2,9,v-quadratic|S3_positive_genus,True,0,12,13,NON_COORDINATE,NON_COORDINATE_BY_R,2,EXACT-G1,2,5,iii,0,nonzero holomorphic 1-form on a compact curve of genus 5,NONVANISHING,,,,,
bd3bab925c3a,"G1 h0=-1 c=-2 a=1 n=11 m=2 t=[(0, Fraction(-3, 1)), (1, Fraction(2, 1)), (2, Fraction(-2, 1)), (3, Fraction(1, 1))]",17,2,45,v-quadratic|S3_positive_genus,True,0,12,14,NON_COORDINATE,NON_COORDINATE_BY_R,2,EXACT-G1,2,5,iii,0,nonzero holomorphic 1-form on a compact curve of genus 5,NONVANISHING,,,,,
5d1ca9d31a18,G1 h0=-3 c=1 a=0 n=12 m=2 t=[],14,2,2,v-quadratic|S2_ge3_places|S3_positive_genus,True,0,13,13,NON_COORDINATE,NON_COORDINATE_BY_R,2,EXACT-G1,3,5,iii,0,nonzero holomorphic 1-form on a compact curve of genus 5,NONVANISHING,,,,,
649350d14258,"G1 h0=1 c=2 a=0 n=12 m=2 t=[(0, Fraction(-2, 1)), (1, Fraction(-2, 1))]",14,2,9,v-quadratic|S2_ge3_places|S3_positive_genus,True,0,13,13,NON_COORDINATE,NON_COORDINATE_BY_R,2,EXACT-G1,3,5,iii,0,nonzero holomorphic 1-form on a compact curve of genus 5,NONVANISHING,,,,,
150e7c2fdb30,"G1 h0=2 c=-1 a=2 n=12 m=2 t=[(0, Fraction(1, 1)), (1, Fraction(-2, 1)), (2, Fraction(-3, 1))]",16,2,45,v-quadratic|S2_ge3_places|S3_positive_genus,True,0,13,14,NON_COORDINATE,NON_COORDINATE_BY_R,2,EXACT-G1,3,5,iii,0,nonzero holomorphic 1-form on a compact curve of genus 5,NONVANISHING,,,,,
9a04e9d6c1e1,"G1 h0=2 c=1 a=2 n=12 m=2 t=[(1, Fraction(1, 1)), (2, Fraction(3, 1)), (3, Fraction(1, 1))]",18,2,47,v-quadratic|S2_ge3_places|S3_positive_genus,True,0,13,15,NON_COORDINATE,NON_COORDINATE_BY_R,2,EXACT-G1,3,5,iii,0,nonzero holomorphic 1-form on a compact curve of genus 5,NONVANISHING,,,,,
207b968cb4c5,"G1 h0=1 c=3 a=0 n=1 m=3 t=[(0, Fraction(-1, 1))]",4,3,6,S1_v_cubic,True,0,3,3,NON_COORDINATE,NON_COORDINATE_BY_R,2,EXACT-G1,2,0,ii,0,all residues zero and the compact model is P^1,VANISHING,EMPTY_all_stages,8,lambda_exact,27,True
52830078b770,"G1 h0=-3 c=2 a=-1 n=1 m=3 t=[(0, Fraction(-1, 1)), (1, Fraction(-3, 1))]",4,3,14,S1_v_cubic,True,0,3,3,NON_COORDINATE,NON_COORDINATE_BY_R,2,EXACT-G1,2,0,ii,0,all residues zero and the compact model is P^1,VANISHING,EMPTY_all_stages,8,lambda_exact,37,True
